temp,location,clouds,pressure,rain,time_stamp,humidity,wind,location_encoded
39.18,Beacon Hill,0.83,996.08,0.028689722956016794,1543449727,0.67,10.69,1
39.23,Boston University,0.83,996.11,0.026181871624828545,1543449727,0.66,10.53,2
39.1,Fenway,0.83,996.11,0.027406641492717654,1543449727,0.67,10.59,3
39.56,Financial District,0.83,996.07,0.030999248916415922,1543449727,0.66,10.79,4
39.18,Haymarket Square,0.83,996.07,0.02948308042982717,1543449727,0.66,10.73,5
39.21,North End,0.82,996.07,0.029462158358469992,1543449727,0.66,10.75,6
39.1,Northeastern University,0.83,996.1,0.029210413968144167,1543449727,0.67,10.66,8
39.54,South Station,0.83,996.08,0.03191380163558222,1543449727,0.66,10.8,9
39.1,Theatre District,0.83,996.08,0.030829795561871265,1543449727,0.67,10.75,10
39.1,West End,0.83,996.07,0.0300084676087522,1543449727,0.67,10.69,11
27.27,Back Bay,0.15,1033.4,-0.05607510625260659,1544787901,0.8,2.96,0
27.27,Beacon Hill,0.15,1033.4,-0.05506469125099045,1544787901,0.81,2.99,1
27.07,Boston University,0.15,1033.4,-0.05802341034204517,1544787901,0.8,2.84,2
26.88,Fenway,0.15,1033.4,-0.05722545709264182,1544787901,0.81,2.88,3
27.26,Financial District,0.15,1033.4,-0.05338706011798422,1544787901,0.81,3.07,4
27.34,Haymarket Square,0.15,1033.4,-0.05354676766434352,1544787901,0.81,3.04,5
27.43,North End,0.15,1033.4,-0.05306577700446269,1544787901,0.81,3.05,6
27.22,North Station,0.15,1033.4,-0.053942193841820085,1544787901,0.81,3.01,7
26.93,Northeastern University,0.16,1033.4,-0.054898376406967486,1544787901,0.81,2.94,8
27.17,South Station,0.15,1033.4,-0.05280409983740242,1544787901,0.81,3.07,9
27.03,Theatre District,0.15,1033.4,-0.05315203889004749,1544787901,0.82,3.03,10
45.49,Back Bay,1.0,1012.46,0.06768613874420737,1543253710,0.86,6.47,0
45.42,Beacon Hill,1.0,1012.47,0.0678981589320955,1543253710,0.86,6.48,1
45.55,Boston University,1.0,1012.46,0.06709084291462375,1543253710,0.85,6.43,2
45.64,Fenway,1.0,1012.46,0.06757183357451879,1543253710,0.85,6.44,3
45.54,Financial District,1.0,1012.47,0.06850245616745099,1543253710,0.85,6.5,4
45.42,Haymarket Square,1.0,1012.47,0.06881457305112804,1543253710,0.86,6.5,5
45.43,North End,1.0,1012.47,0.06914070187046661,1543253710,0.86,6.51,6
45.47,North Station,1.0,1012.47,0.06921423364192947,1543253710,0.86,6.5,7
45.69,Northeastern University,1.0,1012.46,0.0687364723141144,1543253710,0.85,6.46,8
45.61,South Station,1.0,1012.47,0.06939514012907466,1543253710,0.85,6.5,9
45.55,Theatre District,1.0,1012.47,0.0692750945998597,1543253710,0.85,6.49,10
45.46,West End,1.0,1012.47,0.0696452846737543,1543253710,0.86,6.49,11
45.52,South Station,0.89,1000.08,-0.0893597149215708,1543830779,0.95,1.39,9
45.98,Back Bay,0.99,1021.67,0.01859034813686833,1544870701,0.9,5.58,0
45.98,Beacon Hill,0.99,1021.65,0.01959228840323135,1544870701,0.9,5.64,1
46.11,Boston University,0.99,1021.67,0.01766455106060505,1544870701,0.89,5.51,2
46.83,Financial District,0.99,1021.65,0.021134422823053,1544870701,0.87,5.68,4
45.94,Haymarket Square,0.99,1021.65,0.02089727695911847,1544870701,0.9,5.69,5
45.97,North End,0.99,1021.64,0.02122136802952923,1544870701,0.9,5.7,6
45.86,North Station,0.99,1021.64,0.02084919873092872,1544870701,0.9,5.68,7
45.65,Northeastern University,0.99,1021.68,0.018820082094620716,1544870701,0.91,5.53,8
45.68,Theatre District,0.99,1021.66,0.02080820711664444,1544870701,0.91,5.64,10
45.78,West End,0.99,1021.65,0.02142313741657631,1544870701,0.91,5.66,11
44.34,Back Bay,0.19,1029.99,-0.03671646044234933,1544813101,0.61,3.39,0
44.18,Beacon Hill,0.19,1029.99,-0.03687474815318126,1544813101,0.61,3.39,1
44.25,Boston University,0.2,1029.98,-0.036242794930728905,1544813101,0.61,3.38,2
44.53,Fenway,0.2,1029.98,-0.035549342518635285,1544813101,0.61,3.38,3
44.55,Financial District,0.18,1030.0,-0.036442191046006656,1544813101,0.6,3.4,4
44.37,Haymarket Square,0.19,1030.0,-0.03570511907284413,1544813101,0.61,3.4,5
44.37,North End,0.18,1030.0,-0.03609478457249793,1544813101,0.61,3.4,6
44.44,North Station,0.19,1029.99,-0.035462831350045576,1544813101,0.61,3.39,7
44.47,Theatre District,0.19,1029.99,-0.03495045024914134,1544813101,0.61,3.39,10
44.41,West End,0.19,1029.99,-0.03491516065930966,1544813101,0.61,3.39,11
40.01,Back Bay,0.95,1000.9,-0.07879958498710948,1545068701,0.81,6.46,0
39.78,Beacon Hill,0.95,1000.89,-0.07944480025558676,1545068701,0.81,6.44,1
40.15,Boston University,0.94,1000.91,-0.07942969699884372,1545068701,0.8,6.44,2
40.27,Fenway,0.94,1000.91,-0.07857996291068048,1545068701,0.8,6.47,3
39.89,Financial District,0.96,1000.89,-0.07792578560618324,1545068701,0.81,6.46,4
39.85,Haymarket Square,0.95,1000.89,-0.07885888738321967,1545068701,0.81,6.43,5
39.82,North End,0.96,1000.89,-0.07822442313330669,1545068701,0.81,6.43,6
39.92,North Station,0.95,1000.89,-0.07857584645134352,1545068701,0.81,6.42,7
40.17,Northeastern University,0.94,1000.91,-0.07770569012207318,1545068701,0.8,6.49,8
39.9,South Station,0.95,1000.9,-0.07749426116669156,1545068701,0.81,6.47,9
39.92,Theatre District,0.95,1000.9,-0.07745944485537848,1545068701,0.81,6.46,10
39.56,West End,0.95,1000.87,-0.07766114143763048,1545068701,0.81,6.49,11
38.59,Back Bay,0.75,996.83,0.03177688729331862,1543451968,0.69,11.01,0
38.55,Beacon Hill,0.75,996.82,0.03243147961039483,1543451968,0.69,11.05,1
38.62,Boston University,0.74,996.85,0.029037540348468838,1543451968,0.69,10.84,2
38.35,Fenway,0.75,996.86,0.030573156674378765,1543451968,0.7,10.9,3
38.0,Financial District,0.76,996.81,0.034971429405274534,1543451968,0.71,11.17,4
38.52,Haymarket Square,0.75,996.8,0.0338296545972554,1543451968,0.69,11.11,5
38.55,North End,0.75,996.8,0.03434983399577618,1543451968,0.69,11.13,6
38.44,North Station,0.75,996.8,0.03335632422100332,1543451968,0.69,11.07,7
38.32,Northeastern University,0.75,996.85,0.03262952619769521,1543451968,0.7,10.99,8
37.94,South Station,0.76,996.81,0.03592313311415296,1543451968,0.71,11.19,9
38.35,Theatre District,0.76,996.82,0.03542866971861258,1543451968,0.7,11.12,10
38.39,West End,0.75,996.81,0.03375069754163462,1543451968,0.69,11.06,11
36.33,Beacon Hill,0.29,1001.77,-0.06869851745184974,1545101102,0.69,10.03,1
37.0,Financial District,0.29,1001.76,-0.06668659635090535,1545101102,0.67,10.1,4
36.16,West End,0.29,1001.85,-0.06710491005186725,1545101102,0.7,10.01,11
36.78,Back Bay,0.42,1023.64,-0.022087718309151683,1543708374,0.76,2.47,0
36.74,Boston University,0.44,1023.65,-0.021360661616313337,1543708374,0.76,2.43,2
36.65,Fenway,0.44,1023.64,-0.021424198425748386,1543708374,0.76,2.43,3
35.54,Financial District,0.4,1023.64,-0.02261596560404655,1543708374,0.8,2.52,4
36.78,Haymarket Square,0.4,1023.64,-0.021636065802510984,1543708374,0.76,2.52,5
36.82,North End,0.4,1023.64,-0.02125186379295485,1543708374,0.76,2.53,6
36.74,North Station,0.4,1023.64,-0.021565959901366227,1543708374,0.76,2.51,7
36.68,Northeastern University,0.43,1023.64,-0.020839376616152094,1543708374,0.76,2.45,8
36.69,Theatre District,0.41,1023.64,-0.020822674290158716,1543708374,0.76,2.5,10
33.71,Back Bay,0.12,991.21,-0.1148478213968076,1543398556,0.82,5.36,0
33.67,Beacon Hill,0.12,991.2,-0.11465923443687132,1543398556,0.82,5.37,1
33.79,Boston University,0.13,991.22,-0.11489557877017376,1543398556,0.82,5.29,2
33.48,Fenway,0.13,991.22,-0.11432991828158379,1543398556,0.83,5.33,3
33.76,Financial District,0.12,991.2,-0.11325403136032719,1543398556,0.82,5.42,4
33.51,Haymarket Square,0.12,991.2,-0.11365957032465701,1543398556,0.83,5.39,5
33.54,North End,0.12,991.2,-0.11329472604518287,1543398556,0.83,5.4,6
33.46,North Station,0.12,991.2,-0.11376415727262668,1543398556,0.83,5.37,7
33.4,Northeastern University,0.13,991.22,-0.11310625979474764,1543398556,0.83,5.37,8
33.76,South Station,0.12,991.21,-0.11230076318103954,1543398556,0.82,5.43,9
33.38,Theatre District,0.12,991.21,-0.11280261751718967,1543398556,0.83,5.41,10
33.41,West End,0.12,991.2,-0.11325520204201212,1543398556,0.83,5.37,11
51.7,Beacon Hill,0.9,1021.3,0.014958052465246396,1544899502,0.73,5.55,1
51.99,Fenway,0.92,1021.29,0.014689056641685738,1544899502,0.73,5.41,3
52.14,Financial District,0.9,1021.3,0.016647802419882396,1544899502,0.72,5.6,4
52.17,South Station,0.9,1021.29,0.017422302252185773,1544899502,0.72,5.6,9
51.97,Theatre District,0.91,1021.29,0.017499318289026178,1544899502,0.73,5.56,10
51.94,West End,0.9,1021.31,0.017288421136370857,1544899502,0.73,5.57,11
25.4,Back Bay,0.76,1006.33,0.069175556022401,1545129901,0.52,17.96,0
25.7,Beacon Hill,0.8,1006.69,0.07268953802282851,1545129901,0.53,17.88,1
25.5,Boston University,0.79,1006.25,0.06863925721485487,1545129901,0.52,17.81,2
25.74,Financial District,0.77,1006.3,0.0731883313539754,1545129901,0.52,18.11,4
25.37,Haymarket Square,0.77,1006.3,0.07379318058121953,1545129901,0.53,18.16,5
25.42,North End,0.77,1006.29,0.07431132223079828,1545129901,0.53,18.18,6
25.4,North Station,0.8,1006.2,0.07428255219743107,1545129901,0.53,18.09,7
24.36,Northeastern University,0.69,1006.3,0.06338579586086723,1545129901,0.54,17.84,8
25.67,South Station,0.77,1006.3,0.07334400173753863,1545129901,0.52,18.08,9
25.13,Theatre District,0.77,1006.31,0.07226250669130252,1545129901,0.53,18.04,10
25.18,West End,0.77,1006.31,0.0737534122642387,1545129901,0.53,18.12,11
28.83,Back Bay,0.27,1021.48,-0.05210897651913626,1544409657,0.6,5.11,0
28.81,Beacon Hill,0.27,1021.48,-0.05121958041378605,1544409657,0.6,5.16,1
28.84,Boston University,0.27,1021.48,-0.0531847629199973,1544409657,0.6,5.02,2
28.66,Fenway,0.27,1021.48,-0.05322643097194657,1544409657,0.6,5.03,3
28.81,Financial District,0.28,1021.48,-0.049447495437974,1544409657,0.6,5.21,4
28.82,Haymarket Square,0.28,1021.47,-0.0491621198276988,1544409657,0.6,5.22,5
28.86,North End,0.28,1021.47,-0.04862258269909603,1544409657,0.6,5.24,6
28.78,North Station,0.28,1021.47,-0.049247349045586475,1544409657,0.6,5.2,7
28.71,Northeastern University,0.27,1021.48,-0.051906457113275906,1544409657,0.6,5.06,8
28.83,South Station,0.28,1021.48,-0.04880693524570745,1544409657,0.6,5.2,9
28.76,Theatre District,0.28,1021.48,-0.049257008743083475,1544409657,0.6,5.17,10
28.72,West End,0.28,1021.47,-0.04891308666410055,1544409657,0.6,5.19,11
42.89,Boston University,0.98,1024.62,0.030208983570133796,1544845502,0.88,5.93,2
42.66,West End,0.98,1024.61,0.03303225116634678,1544845502,0.89,6.03,11
40.65,Back Bay,0.93,1013.76,0.010498418187665948,1543209183,0.92,3.01,0
40.69,North End,0.93,1013.77,0.011680553257463089,1543209183,0.92,3.02,6
40.46,Northeastern University,0.92,1013.75,0.011929903668786324,1543209183,0.93,3.06,8
40.52,Theatre District,0.93,1013.76,0.01355211714481186,1543209183,0.93,3.1,10
40.42,Beacon Hill,0.92,1013.8,0.005207163622301891,1543210083,0.93,2.69,1
40.45,North End,0.92,1013.8,0.0063330869017761415,1543210083,0.93,2.71,6
40.35,North Station,0.92,1013.8,0.005514269976117703,1543210083,0.93,2.66,7
40.16,Northeastern University,0.91,1013.79,0.00650704414178449,1543210083,0.94,2.75,8
42.47,Back Bay,0.58,1007.66,0.05969265402285373,1543521174,0.54,10.66,0
42.46,Beacon Hill,0.58,1007.66,0.06106741321539744,1543521174,0.54,10.74,1
42.65,Boston University,0.59,1007.67,0.059217133473978834,1543521174,0.54,10.55,2
42.32,Fenway,0.58,1007.67,0.05842630143732208,1543521174,0.55,10.54,3
42.66,Financial District,0.58,1007.66,0.0628408864417338,1543521174,0.54,10.8,4
42.44,Haymarket Square,0.58,1007.66,0.06272178746955603,1543521174,0.54,10.81,5
42.48,North End,0.58,1007.66,0.06341665971719124,1543521174,0.54,10.84,6
42.4,North Station,0.58,1007.66,0.06279189337070079,1543521174,0.54,10.8,7
42.31,Northeastern University,0.58,1007.67,0.059940799153665125,1543521174,0.55,10.59,8
42.64,South Station,0.58,1007.66,0.06340401571372922,1543521174,0.54,10.79,9
42.33,Theatre District,0.58,1007.66,0.06257166013088522,1543521174,0.55,10.74,10
42.35,West End,0.58,1007.66,0.06322781691839907,1543521174,0.55,10.77,11
32.33,Back Bay,0.7,1033.66,-0.031691645807214286,1544726701,0.56,2.34,0
32.24,Beacon Hill,0.7,1033.66,-0.03140375916947846,1544726701,0.56,2.36,1
32.31,Fenway,0.7,1033.65,-0.03178281192286647,1544726701,0.56,2.31,3
32.28,Haymarket Square,0.69,1033.67,-0.030910262390975163,1544726701,0.56,2.38,5
32.31,North End,0.69,1033.67,-0.030700753230561872,1544726701,0.56,2.38,6
32.28,North Station,0.69,1033.67,-0.03091806068860592,1544726701,0.56,2.36,7
40.65,Boston University,0.94,1013.75,0.006068435654867699,1543208141,0.92,2.67,2
40.54,Fenway,0.94,1013.75,0.007715622903873509,1543208141,0.92,2.78,3
40.65,South Station,0.94,1013.76,0.011829294226998854,1543208141,0.92,2.97,9
40.6,Theatre District,0.94,1013.76,0.010951930832590051,1543208141,0.92,2.91,10
45.27,Beacon Hill,1.0,989.02,-0.10474097737760246,1543320921,0.93,1.56,1
30.02,Fenway,1.0,1003.18,0.0040673687365710975,1545119102,0.58,12.97,3
29.93,West End,1.0,1003.15,0.007084037284371902,1545119102,0.59,13.08,11
30.1,Back Bay,1.0,1003.16,0.004773808330426732,1545119101,0.58,13.04,0
30.01,Beacon Hill,1.0,1003.16,0.005610003761447047,1545119101,0.59,13.07,1
30.09,Boston University,1.0,1003.18,0.003274807530416979,1545119101,0.58,12.92,2
30.16,Financial District,1.0,1003.15,0.007318966811254768,1545119101,0.58,13.16,4
30.03,Haymarket Square,1.0,1003.15,0.006990385488677475,1545119101,0.59,13.12,5
30.07,North End,1.0,1003.15,0.0071369489430139765,1545119101,0.58,13.14,6
30.0,North Station,1.0,1003.15,0.0067691788817967335,1545119101,0.59,13.09,7
29.99,Northeastern University,1.0,1003.17,0.006050752825842665,1545119101,0.59,13.03,8
30.14,South Station,1.0,1003.15,0.008192766321329259,1545119101,0.58,13.17,9
29.94,Theatre District,1.0,1003.15,0.007573345769245066,1545119101,0.59,13.12,10
40.59,North Station,0.93,1013.77,0.010548522406310212,1543209238,0.92,2.95,7
40.46,Northeastern University,0.92,1013.75,0.011927359981399377,1543209238,0.93,3.06,8
33.4,Back Bay,0.14,991.21,-0.1095155597919728,1543399584,0.83,5.65,0
33.37,Beacon Hill,0.14,991.2,-0.10946295022101538,1543399584,0.83,5.65,1
33.52,Boston University,0.14,991.21,-0.11022307604307002,1543399584,0.83,5.57,2
33.15,Fenway,0.14,991.22,-0.10973280872580915,1543399584,0.84,5.61,3
33.58,Financial District,0.14,991.2,-0.1080630929388775,1543399584,0.82,5.71,4
33.18,Haymarket Square,0.14,991.19,-0.10840677738903537,1543399584,0.84,5.68,5
33.21,North End,0.14,991.19,-0.10804193310954702,1543399584,0.84,5.69,6
33.13,North Station,0.14,991.19,-0.10851136433700503,1543399584,0.84,5.66,7
33.05,Northeastern University,0.14,991.22,-0.10854786569910857,1543399584,0.84,5.65,8
33.58,South Station,0.14,991.2,-0.10715057796865324,1543399584,0.82,5.72,9
33.04,Theatre District,0.14,991.2,-0.10772451743068245,1543399584,0.84,5.69,10
33.07,West End,0.14,991.19,-0.10802176683645826,1543399584,0.84,5.66,11
46.71,Back Bay,0.91,1022.17,-0.008976940793928634,1544885101,0.89,3.93,0
46.62,Beacon Hill,0.91,1022.17,-0.008533719037160381,1544885101,0.89,3.96,1
46.4,Boston University,0.91,1022.17,-0.008104509216053657,1544885101,0.9,3.98,2
46.86,Fenway,0.91,1022.16,-0.008273020141302823,1544885101,0.89,3.93,3
46.84,Financial District,0.92,1022.16,-0.007774533280368701,1544885101,0.89,3.92,4
46.85,Haymarket Square,0.91,1022.17,-0.007720385919895989,1544885101,0.88,3.97,5
46.85,North End,0.92,1022.17,-0.007027848479779664,1544885101,0.88,3.97,6
46.92,North Station,0.91,1022.17,-0.006971339630851503,1544885101,0.88,3.99,7
46.88,Northeastern University,0.92,1022.16,-0.007557363836312447,1544885101,0.89,3.89,8
46.85,South Station,0.92,1022.16,-0.007464001056277425,1544885101,0.89,3.89,9
46.87,Theatre District,0.92,1022.16,-0.006963179387810214,1544885101,0.89,3.91,10
46.88,West End,0.91,1022.17,-0.0065983617892442226,1544885101,0.88,3.98,11
41.98,Fenway,0.88,1021.54,0.01816618437358386,1544971502,0.71,7.22,3
42.12,South Station,0.87,1021.56,0.021992915745144614,1544971502,0.71,7.42,9
41.96,West End,0.87,1021.58,0.02004821387511413,1544971502,0.71,7.29,11
35.65,Financial District,0.14,991.55,-0.09109810865552959,1543389891,0.77,6.55,4
34.94,Haymarket Square,0.14,991.54,-0.09204188273774605,1543389891,0.79,6.52,5
41.01,Back Bay,0.65,1023.18,-0.018500670458976742,1543697574,0.63,1.79,0
40.96,Beacon Hill,0.64,1023.18,-0.01914245972800188,1543697574,0.63,1.78,1
41.09,Boston University,0.65,1023.18,-0.018042936677957755,1543697574,0.63,1.79,2
40.93,Fenway,0.65,1023.17,-0.018086642478820636,1543697574,0.63,1.8,3
41.37,Financial District,0.64,1023.18,-0.01828745855881664,1543697574,0.62,1.78,4
40.94,Haymarket Square,0.64,1023.18,-0.018730766426230616,1543697574,0.63,1.77,5
40.96,North End,0.63,1023.18,-0.019081716465748855,1543697574,0.63,1.77,6
40.92,North Station,0.63,1023.18,-0.019007711415795825,1543697574,0.63,1.77,7
40.9,Northeastern University,0.66,1023.17,-0.01669109922893597,1543697574,0.63,1.81,8
41.35,South Station,0.65,1023.18,-0.016872557578849978,1543697574,0.62,1.79,9
40.87,Theatre District,0.65,1023.18,-0.017257318977570435,1543697574,0.63,1.79,10
40.88,West End,0.64,1023.18,-0.017938296985235525,1543697574,0.63,1.77,11
33.49,Back Bay,0.41,991.97,-0.07424325663401987,1543398144,0.84,6.74,0
33.22,Fenway,0.41,991.99,-0.07500677661219868,1543398144,0.84,6.69,3
33.29,Haymarket Square,0.4,991.95,-0.07371916367699782,1543398144,0.84,6.79,5
33.09,Northeastern University,0.41,991.99,-0.07333159798243116,1543398144,0.85,6.74,8
34.11,South Station,0.4,991.97,-0.0716091863847339,1543398144,0.82,6.83,9
33.08,Theatre District,0.4,991.97,-0.07273868094577551,1543398144,0.85,6.8,10
44.29,Back Bay,1.0,998.12,0.0113,1543297520,0.89,14.24,0
44.28,Beacon Hill,1.0,998.13,0.011,1543297520,0.89,14.34,1
44.37,Boston University,1.0,998.14,0.0073,1543297520,0.89,14.08,2
44.03,Fenway,1.0,998.12,0.0107,1543297520,0.9,14.1,3
43.3,Financial District,1.0,998.65,0.016,1543297520,0.9,10.17,4
44.18,Haymarket Square,1.0,998.13,0.0117,1543297520,0.89,14.44,5
43.12,North End,1.0,998.67,0.012,1543297520,0.91,10.21,6
44.09,North Station,1.0,998.14,0.0097,1543297520,0.9,14.41,7
43.99,Northeastern University,1.0,998.11,0.0127,1543297520,0.9,14.16,8
44.64,South Station,1.0,998.11,0.018,1543297520,0.88,14.42,9
43.06,Theatre District,1.0,998.65,0.0147,1543297520,0.91,10.15,10
44.04,West End,1.0,998.14,0.0103,1543297520,0.9,14.38,11
41.27,Back Bay,0.27,1032.07,-0.014041835044480422,1544805902,0.66,4.26,0
41.2,Beacon Hill,0.27,1032.08,-0.013674479737531442,1544805902,0.66,4.28,1
41.35,Boston University,0.27,1032.06,-0.013935524710646519,1544805902,0.66,4.24,2
40.88,Financial District,0.27,1032.08,-0.01329131039567244,1544805902,0.67,4.29,4
41.16,North Station,0.26,1032.08,-0.012918390949138825,1544805902,0.66,4.31,7
41.49,Northeastern University,0.27,1032.07,-0.012870482578279052,1544805902,0.66,4.23,8
40.99,South Station,0.27,1032.08,-0.012476530632810068,1544805902,0.67,4.28,9
41.3,Theatre District,0.27,1032.08,-0.012273313823811804,1544805902,0.66,4.27,10
41.14,West End,0.27,1032.08,-0.011965596177503812,1544805902,0.66,4.3,11
45.49,Back Bay,0.98,1012.84,0.0623331636737845,1543251908,0.86,6.09,0
45.49,Boston University,0.98,1012.84,0.0598400034714075,1543251908,0.86,5.91,2
45.58,Fenway,0.98,1012.84,0.06109766972652153,1543251908,0.86,5.97,3
45.47,Haymarket Square,0.98,1012.83,0.06503023140335529,1543251908,0.86,6.22,5
45.5,North End,0.98,1012.83,0.06570574592092271,1543251908,0.86,6.25,6
45.5,North Station,0.98,1012.83,0.06476983605782038,1543251908,0.86,6.18,7
45.66,Northeastern University,0.98,1012.85,0.06290017190542585,1543251908,0.85,6.05,8
45.57,South Station,0.98,1012.84,0.06625400771501688,1543251908,0.85,6.27,9
45.59,Theatre District,0.98,1012.84,0.06535681331205012,1543251908,0.85,6.2,10
45.49,West End,0.98,1012.83,0.06504555197061279,1543251908,0.86,6.16,11
38.61,Back Bay,0.96,1017.24,-0.0032966666329912186,1543618374,0.65,3.26,0
38.59,Beacon Hill,0.96,1017.24,-0.004115956837168255,1543618374,0.65,3.2,1
38.58,Boston University,0.96,1017.24,-0.001343181573204788,1543618374,0.65,3.37,2
38.42,Fenway,0.96,1017.24,-0.0012638307288312944,1543618374,0.66,3.36,3
39.7,Financial District,0.96,1017.23,-0.0031163170418579966,1543618374,0.63,3.15,4
38.61,Haymarket Square,0.96,1017.23,-0.004288926300404228,1543618374,0.65,3.15,5
38.65,North End,0.96,1017.23,-0.004370729647988014,1543618374,0.65,3.13,6
38.57,North Station,0.96,1017.24,-0.0038673969520885976,1543618374,0.65,3.16,7
38.46,Northeastern University,0.96,1017.24,-0.0012058955526299542,1543618374,0.66,3.31,8
39.71,South Station,0.96,1017.23,-0.00233977946061259,1543618374,0.63,3.15,9
38.54,Theatre District,0.96,1017.24,-0.0030051568744227097,1543618374,0.65,3.19,10
38.52,West End,0.96,1017.24,-0.002654797809142906,1543618374,0.66,3.18,11
40.67,Back Bay,0.83,994.09,-0.00044988749542085316,1543442529,0.63,9.24,0
40.64,Beacon Hill,0.83,994.08,-0.0003972779244634239,1543442529,0.63,9.24,1
40.63,Boston University,0.83,994.1,-0.001426374218510773,1543442529,0.63,9.16,2
41.42,Financial District,0.84,994.07,0.002213344558029462,1543442529,0.61,9.3,4
40.76,Haymarket Square,0.84,994.07,0.001251777216168648,1543442529,0.63,9.26,5
40.81,North End,0.84,994.06,0.0016145837467149704,1543442529,0.63,9.27,6
40.78,North Station,0.83,994.07,0.0007415929087954964,1543442529,0.63,9.24,7
40.78,Northeastern University,0.84,994.1,0.001711725095191241,1543442529,0.63,9.25,8
41.46,South Station,0.84,994.07,0.0032032904485248537,1543442529,0.61,9.31,9
40.86,Theatre District,0.84,994.08,0.002709292934227392,1543442529,0.63,9.29,10
40.73,West End,0.83,994.07,0.0012505481393958462,1543442529,0.63,9.24,11
44.09,Back Bay,0.99,1005.3,0.1577,1543281514,0.9,11.25,0
44.11,Beacon Hill,0.99,1005.33,0.1881,1543281514,0.9,11.3,1
44.07,Boston University,0.99,1005.27,0.1301,1543281514,0.9,11.13,2
43.87,Fenway,0.99,1005.25,0.1231,1543281514,0.91,11.15,3
44.87,Financial District,0.99,1005.34,0.2125,1543281514,0.87,11.38,4
44.12,Haymarket Square,0.99,1005.36,0.2232,1543281514,0.9,11.37,5
44.17,North End,0.99,1005.37,0.2349,1543281514,0.9,11.39,6
44.07,North Station,0.99,1005.36,0.2178,1543281514,0.9,11.35,7
43.88,Northeastern University,0.99,1005.26,0.1303,1543281514,0.91,11.2,8
44.84,South Station,0.99,1005.33,0.204,1543281514,0.88,11.38,9
43.99,Theatre District,0.99,1005.32,0.1872,1543281514,0.9,11.33,10
44.01,West End,0.99,1005.35,0.2043,1543281514,0.9,11.33,11
31.41,Beacon Hill,0.83,1034.67,-0.020003638474349827,1544741102,0.64,2.32,1
31.35,Boston University,0.83,1034.67,-0.020671992796863492,1544741102,0.63,2.3,2
32.7,Financial District,0.84,1034.68,-0.017027909252632867,1544741102,0.61,2.36,4
30.98,Northeastern University,0.84,1034.67,-0.018375888574325927,1544741102,0.65,2.35,8
31.12,Theatre District,0.84,1034.67,-0.01780200841291446,1544741102,0.65,2.35,10
31.18,West End,0.83,1034.68,-0.019049088473522602,1544741102,0.64,2.31,11
38.84,Back Bay,1.0,1005.53,0.01531281993922562,1545029101,0.9,10.93,0
38.85,Beacon Hill,1.0,1005.54,0.016767047800982482,1545029101,0.9,11.01,1
38.77,Boston University,1.0,1005.57,0.011915157748404681,1545029101,0.9,10.69,2
38.6,Fenway,1.0,1005.54,0.013095572187850735,1545029101,0.91,10.76,3
39.65,Financial District,1.0,1005.51,0.020347129046044188,1545029101,0.88,11.17,4
38.86,Haymarket Square,1.0,1005.53,0.01890474739337833,1545029101,0.9,11.11,5
38.91,North End,1.0,1005.53,0.019774312490127954,1545029101,0.9,11.15,6
